Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936,30716,196631588,92.0
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283,54331,211607669,92.0
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922,7223,151469874,88.0
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751,73118,201585714,86.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573,10400,184199419,86.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195,13800,197280692,92.0
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436,43025,108168634,88.0
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569,103605,79944921,79.0
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400,12784,177932568,89.0
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694,105218,198845580,87.0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461,6499,52287548,86.0
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535,407119,169783402,87.0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759,3504,661084,35.0
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179,98450,150471020,83.0
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157,88239,180617454,87.0
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727,188142,80392612,80.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645,10871,202626837,92.0
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422,262248,239957538,83.0
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069,177800,85255689,82.0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304,105927,92834002,86.0
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405,178114,49464650,74.0
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,51,202.1,168434320,17168,62516401,86.0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,NGA3B2214021,53,198.0,1391688322,163876,130963116,77.0
Mitu,Mitu - Single,Maian,2023-01-19,EEUM72300001,55,194.3,55346,42,16861,13.0
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,USUG11904206,56,194.0,4281468720,590392,165544011,83.0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,GBUM72205415,60,189.1,1556275789,210583,95974138,74.0
Supernova,Supernova,aespa,2024-05-13,KRA302400090,63,186.1,69729033,2483,21046278,81.0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,USUM72307484,69,177.6,891720245,114560,97542546,82.0
Heat Waves,Heat Waves,Glass Animals,2020-06-29,GBUM72000433,71,175.0,2996181078,486278,112416489,82.0
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,USSM11901941,75,170.3,1010494713,127393,18652312,67.0
un x100to,un x100to,Grupo Frontera,2023-04-17,QM6N22311285,76,170.2,1008495696,99381,57394938,75.0
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401988,79,167.8,169410711,11028,144854768,90.0
TQG,TQG,KAROL G,2023-02-23,USUM72222541,80,167.8,1024381758,78554,69319589,78.0
Pepas,Pepas,Farruko,2021-06-24,USSD12100307,82,167.3,1500499584,359502,125112486,74.0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,USE7D2300007,84,166.5,1215336974,129463,39814172,74.0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,USAT22305457,85,166.2,860026452,74769,139913794,80.0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,MXF152300159,86,164.9,1032225805,94887,74469479,79.0
Easy On Me,Easy On Me,Adele,2021-10-14,USSM12105970,88,163.2,1720918065,209635,93875458,73.0
Anti-Hero,Midnights,Taylor Swift,2022-10-21,USUG12205736,91,161.8,1563224246,117005,97456780,80.0
Magnetic,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413259,93,161.0,255076355,11500,90584540,86.0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,USSD12300307,94,158.2,275349653,37806,22826643,70.0
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,USAR12300323,102,152.1,242070373,37170,74130983,76.0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364182,103,150.7,478150858,73306,51842133,78.0
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,USSM12002399,104,150.5,61382407,7240,1708319,43.0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,2023-06-15,GBBKS2300080,105,150.4,460156070,163449,127827271,77.0
Training Season,Training Season,Dua Lipa,2024-02-15,GBAHT2301078,106,148.9,251153869,16811,92985554,76.0
Type Shit,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402033,107,148.1,205206688,28064,84737651,84.0
Armageddon,Armageddon - The 1st Album,aespa,2024-05-27,KRA302400093,108,147.4,32942304,1262,26204483,74.0
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,USSM12104539,110,145.3,2014959725,354831,87942438,70.0
Pedro,Pedro - Single,Jaxomy,2024-03-29,DEE862400427,111,144.6,168145583,27654,159737263,85.0
Fast Car,Gettin' Old,Luke Combs,2023-03-24,US6XF2200436,112,144.5,518988585,73116,58391498,80.0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,USUM71814888,116,143.9,3358704125,392082,123917182,79.0
Saturn,Saturn - Single,SZA,2024-02-24,USRC12400216,117,142.8,343090427,21104,154253718,87.0
Believer,Believer,Imagine Dragons,2017-01-31,USUM71700626,119,142.2,3006226762,335880,89243475,81.0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,2022-04-27,USSM12203789,120,141.0,787155930,183850,58397185,77.0
I KNOW ?,UTOPIA,Travis Scott,2023-07-28,USSM12305012,121,139.5,532605345,128534,31725858,81.0
ANDO,ANDO,Jere Klein,2023-09-27,QMDA72363047,122,139.0,292789738,28591,30905957,72.0
FE!N,UTOPIA,Travis Scott,2023-07-28,USSM12305010,124,137.8,659010786,129923,93969186,86.0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,2022-05-13,USUM72206227,127,136.2,1607421145,212406,160444270,83.0
Drained of Color,Drained of Color,Exhumed,2022-08-30,US2642250302,129,134.0,158627,635,18765,16.0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,USQX92003025,130,133.0,1867736006,302486,82611625,76.0
Dynamite,Dynamite,BTS,2020-08-21,QM7282022872,131,132.3,1872577908,144619,51186002,74.0
Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,USSM12204574,135,129.5,720720922,74295,89509926,77.0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,2023-06-22,QZMEQ2306756,136,129.4,1378494,351,43395,34.0
vampire,vampire,Olivia Rodrigo,2023-06-30,USUG12304091,138,128.9,998964097,90793,87801398,18.0
Abc,Abc,J Ross,2023-02-14,CLLU22300585,145,126.6,31867,5,5100,1.0
La Bachata,La Bachata,Manuel Turizo,2022-05-26,QZDYA1800087,146,126.2,1721045197,156941,97122096,81.0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,USUM72102636,148,125.2,1612286123,282719,97390961,74.0
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,GBAHT1901121,149,124.6,2607121959,270230,143953432,78.0
PROVENZA,PROVENZA,KAROL G,2022-04-22,USUM72205906,151,123.8,1185929926,103026,64847502,76.0
SPOT!,SPOT!,ZICO,2024-04-26,USA2P2421932,153,122.8,77757035,3407,35428519,81.0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,USA2P2330093,156,122.4,1673557134,54950,91343768,80.0
Last Night,3 Songs At A Time Sampler,Morgan Wallen,2023-01-31,USUG12300802,157,121.9,922010059,107189,61174155,79.0
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,IEACJ2300335,158,121.2,532012790,22396,130752527,85.0
good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,USUG12101245,163,117.8,2167768056,309421,72787213,79.0
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,USUM71900764,164,117.7,2516804300,296739,113315017,76.0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,2018-05-25,USUM71911283,165,117.6,2738293818,251033,108433327,74.0
DESPECHï¿,DESPECHï¿,ROSALï¿½,2022-07-28,USSM12207207,166,116.9,1003487432,126402,88024543,73.0
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,USUM72007941,167,116.7,1638836101,272933,50425049,70.0
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,2023-03-23,GBAHS2201304,168,116.6,372423476,44730,21933393,71.0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-24,USWB12304903,169,116.5,630373315,70400,105320547,84.0
Circles,Circles,Post Malone,2019-08-30,USUM71915699,170,116.0,2481391466,332437,124491320,80.0
About Damn Time,About Damn Time,Lizzo,2022-04-14,USAT22202139,172,115.6,847025688,104052,47808065,66.0
Closer,Closer,The Chainsmokers,2016-07-29,USQX91601347,173,114.6,2880536961,285381,129399627,80.0
FLOWER,ME,JISOO,2023-03-31,KRA402300002,174,114.3,440364356,26107,15314737,70.0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364199,175,114.2,689181455,61138,90492257,83.0
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,2023-08-17,USSD12300400,182,111.8,571366508,32236,42828677,79.0
golden hour,golden hour,JVKE,2022-07-15,GBKPL2204171,183,111.4,1126986320,200887,45885823,73.0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,GBAHT2000942,184,111.3,2074721986,255296,109442317,77.0
Get It Sexyy,Get It Sexyy,Sexyy Red,2024-03-15,QZSYP2454435,185,111.1,89362910,7377,70714216,84.0
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,2023-10-18,USWD12328242,186,110.9,26674909,2673,8562091,19.0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,USUG12204897,192,109.7,971473231,239671,77479207,78.0
Memories,Memories,Maroon 5,2019-09-20,USUM71913350,194,109.3,2011072164,222804,49920599,77.0
Classy 101,Classy 101,Feid,2023-03-31,USUM72304895,195,109.1,872148396,90726,70485920,78.0
Whatever,Whatever,Kygo,2024-01-19,USRC12302637,196,109.0,222354971,17551,159961203,83.0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2024-02-13,USRC12400299,197,108.4,207093873,23181,114051028,87.0
Shallow,Shallow,Lady Gaga,2018-09-27,USUM71813192,204,106.9,2447973078,221822,90174192,78.0
Thunder,Thunder,Imagine Dragons,2017-04-27,USUM71704167,203,106.9,2384768901,244951,88329475,79.0
Rush,Rush,Ayra Starr,2022-09-16,NGA3B2216004,205,106.4,371886608,98009,19411516,67.0
abcdefu,abcdefu,GAYLE,2021-08-13,USAT22103652,206,106.2,1128273165,193857,61311826,70.0
Bad Habit,Bad Habit,Steve Lacy,2022-06-29,USRC12201440,207,105.8,1087938471,220515,63054597,73.0
LADY GAGA,LADY GAGA,Peso Pluma,2023-06-22,QM7282306246,212,105.2,684204777,48370,25130304,78.0
Woman,Planet Her,Doja Cat,2021-06-25,USRC12101532,211,105.2,1606950381,217443,95985096,78.0
CUFF IT,RENAISSANCE,Beyoncï¿,2022-07-29,USSM12206232,213,104.9,795960535,100204,68659216,73.0
KING KONG,KING KONG,TREASURE,2024-05-28,KRA402400030,214,104.5,8078265,207,12311489,68.0
How You Like That,How You Like That,BLACKPINK,2020-06-25,KRA402000111,215,104.5,1033109188,82170,21177170,68.0
Milf Song,Milf Song,The Puddleducks,2022-08-19,QZMEP2285895,216,104.5,1165982,1176,23110,28.0
Panda,Panda,Desiigner,2016-02-26,USUM71601094,219,104.2,1181348550,170002,34000497,62.0
Tattoo,Tattoo,Loreen,2023-02-25,SEUM72201638,221,103.9,518846340,83033,48268736,77.0
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,2023-03-17,USUG12301757,223,103.3,102772879,29487,4775168,61.0
Used To Be Young,Endless Summer Vacation,Miley Cyrus,2023-08-18,USSM12306461,227,102.4,205468104,30639,39407660,69.0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2023-02-24,KSA012239181,229,102.3,861388470,103040,37365896,48.0
How Sweet,How Sweet,NewJeans,2024-05-24,USA2P2414843,228,102.3,33595707,1940,36883184,79.0
Players,Players,Coi Leray,2022-11-30,USUM72222387,230,101.8,465588517,91658,60607887,67.0
rockstar (feat. 21 Savage),rockstar,Post Malone,2017-09-15,USUM71710087,231,101.8,2960046642,352745,82442565,77.0
Con Calma,Con Calma,Daddy Yankee,2019-01-24,US2BU1900125,236,101.4,1353028938,160122,52701166,73.0
Here With Me,Here With Me,d4vd,2022-07-20,QZMEM2209263,234,101.4,1042311849,154178,58833842,80.0
Favorite Song,Favorite Song,Toosii,2023-02-17,USUM72301797,235,101.4,186579651,45668,6252506,62.0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,USSM12100531,238,100.8,1902241314,316054,50751390,70.0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,2022-09-22,TCAGM2208561,241,100.1,665716137,97057,33252792,80.0
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,USSM11912587,243,99.7,2708151499,298135,159003869,82.0
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,2024-03-23,USA2P2414894,244,98.8,172164034,5517,48983734,82.0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,2023-12-27,CH7811111177,245,98.5,298853393,50137,43508958,70.0
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,2023-05-18,QM6P42334528,246,98.4,717849037,98440,37797217,72.0
Yandel 150,Yandel 150,Yandel,2022-12-20,QMFMF2215173,247,98.1,837576264,102545,38825844,70.0
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,USSM12105732,248,98.0,1062095453,165197,75503476,72.0
Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,USSD12100202,249,98.0,1339352060,188874,76063128,75.0
Chemical,Chemical,Post Malone,2023-04-14,USUM72305205,250,97.6,503574147,79679,43648353,75.0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,2011-11-20,GBARL1401524,254,97.1,1993030264,256764,149909699,77.0
love nwantiti (ah ah ah),CKay The First,CKay,2019-08-30,QMEU31910213,256,96.9,853451422,172458,43607688,71.0
Mi Gente,Mi Gente,J Balvin,2017-06-30,FR22F1701790,257,96.4,1478442472,189504,45240294,69.0
Late Night Talking,Harry's House,Harry Styles,2022-05-20,USSM12200610,258,96.4,959639297,108806,62563751,76.0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,2020-10-20,AEA0D2036458,259,96.2,2300838,543,19016,35.0
Starboy,Starboy,The Weeknd,2016-09-22,USUG11600976,265,95.7,3291262413,366133,98022646,84.0
